rank,lon,lat,electrification_prob,local_suitability_score,region_mean_electrification_prob,served_population,est_households,daily_demand_kwh,solar_pv_kw,battery_kwh,topology,capex_usd
42,34.7825000000004,2.707499999999842,0.2425054013729095,0.5311242701102717,0.0839098244905471,517.7170343399048,115,17.25,4.181818181818182,32.34375,AC three-phase mini-grid,575000
43,35.78250000000091,1.8824999999998595,0.153866097331047,0.776987690733057,0.0839533954858779,283.63146352767944,63,9.45,2.2909090909090906,17.718749999999996,AC three-phase mini-grid,315000
44,40.23250000000319,3.562499999999824,0.064474731683731,0.5179016383260115,0.0844190642237663,174.04814434051514,39,5.85,1.418181818181818,10.968749999999998,DC cluster,195000
45,39.45750000000279,0.9574999999998792,0.1323510855436325,0.4771331885867703,0.0850947573781013,828.7748184204102,184,27.599999999999998,6.6909090909090905,51.74999999999999,AC three-phase mini-grid,920000
46,34.507500000000256,4.707499999999799,0.3345400691032409,0.6509120763782994,0.0872812122106552,404.7388553619385,90,13.5,3.272727272727273,25.3125,AC three-phase mini-grid,450000
47,38.98250000000255,-1.6925000000000645,0.183341383934021,0.5986250895937221,0.0885384306311607,188.57072234153748,42,6.3,1.5272727272727273,11.812499999999998,DC cluster,210000
48,34.65750000000033,3.1074999999998334,0.1771055608987808,0.5761791186430336,0.0885414481163024,282.0887188911438,63,9.45,2.2909090909090906,17.718749999999996,AC three-phase mini-grid,315000
49,40.49750000000332,4.0674999999998125,0.0759374871850013,0.5171110181082154,0.0885561853647232,283.45887184143066,63,9.45,2.2909090909090906,17.718749999999996,AC three-phase mini-grid,315000
50,40.75750000000345,4.25749999999981,0.3448621034622192,0.6702912363151423,0.089179091155529,1337.9714946746826,297,44.55,10.799999999999999,83.53124999999999,AC three-phase mini-grid,1485000
51,38.707500000002405,0.5074999999998888,0.1605667918920517,0.5894505832900814,0.0897146239876747,685.3444356322289,152,22.8,5.527272727272727,42.75,AC three-phase mini-grid,760000
52,36.23250000000114,2.80749999999984,0.2255031764507293,0.4988597863053375,0.0903875976800918,533.3241095542908,119,17.849999999999998,4.327272727272727,33.46874999999999,AC three-phase mini-grid,595000
53,36.78250000000142,2.507499999999846,0.1454986482858657,0.7101864416639445,0.0904595628380775,156.06385588645935,35,5.25,1.2727272727272727,9.84375,DC cluster,175000
54,35.032500000000525,3.1074999999998334,0.3463724255561828,0.4819706975578303,0.092422142624855,297.4199833869934,66,9.9,2.4,18.5625,AC three-phase mini-grid,330000
55,35.92250000000098,3.5574999999998247,0.2897555232048034,0.8388851456459462,0.09295055270195,618.5902155637741,137,20.55,4.981818181818182,38.53125,AC three-phase mini-grid,685000
56,37.05750000000156,2.5324999999998457,0.0672017261385917,0.7685579377270032,0.0936698168516159,95.9829033613205,21,3.15,0.7636363636363637,5.906249999999999,DC cluster,105000
